full_name,university,age,study_hours,missed_classes,sleep_hours,shoe_size,grade
Olivia Wilson,University of Melbourne,22,3.996714153,4,8.227409766,42,38.04166865
Elijah Jones,University of Melbourne,25,3.361735699,7,6.771464577,41,0
Lucas Johnson,University of Cambridge,24,4.147688538,7,6.311100907,43,17.7635503
Noah Davis,Stanford University,24,5.023029856,2,6.662649418,43,63.90427044
Elijah Wilson,Massachusetts Institute of Technology,24,3.265846625,5,7.695216112,44,8.049156391
Sophia Johnson,Stanford University,21,3.265863043,6,8.694432254,43,3.562010448
Ava Davis,ETH Zurich,18,5.079212816,5,6.246227513,48,37.62698926
Mason Martinez,University of Cambridge,21,4.267434729,2,7.118720544,40,49.00966416
Elijah Smith,University of Oxford,19,3.030525614,7,7.40602893,39,0
Emma Martinez,University of Melbourne,18,4.042560044,9,5.808906392,41,5.335030367
Lucas Davis,Harvard University,21,3.036582307,6,7.024500601,39,15.92377374
Ava Brown,University of Cambridge,23,3.034270246,5,5.241191371,39,3.636160271
Liam Johnson,University of Oxford,21,3.741962272,6,4.877139636,40,0
Lucas Davis,Massachusetts Institute of Technology,25,1.586719755,5,7.440095689,40,0
Lucas Martinez,Harvard University,19,1.775082167,5,6.53935031,40,0
Noah Williams,Massachusetts Institute of Technology,26,2.937712471,5,7.242736489,43,15.82037755
Elijah Williams,Stanford University,24,2.48716888,4,6.978526028,41,8.309723473
Elijah Williams,University of Melbourne,18,3.814247333,8,5.828319942,42,5.065992258
Emma Garcia,Massachusetts Institute of Technology,19,2.591975924,4,6.945694838,44,20.06772626
Noah Martinez,ETH Zurich,19,2.087696299,5,5.520278434,40,0
Olivia Brown,University of Cambridge,21,4.965648769,3,8.66916683,41,40.09873566
Lucas Smith,ETH Zurich,19,3.2742237,7,5.372835586,43,0
Ava Martinez,Harvard University,25,3.567528205,2,6.765057675,38,40.23403747
Olivia Johnson,University of Toronto,18,2.075251814,5,5.749274094,37,0
Ava Miller,University of Melbourne,21,2.955617275,10,7.684505408,43,0
Sophia Miller,Massachusetts Institute of Technology,18,3.61092259,7,6.602282354,43,18.11749981
Noah Martinez,Massachusetts Institute of Technology,26,2.349006423,7,6.377599936,46,0
Noah Brown,Massachusetts Institute of Technology,22,3.875698018,10,8.023841854,42,0
Emma Brown,Massachusetts Institute of Technology,24,2.89936131,1,7.03531671,44,36.10436232
Isabella Johnson,University of Oxford,24,3.20830625,5,7.619973335,42,16.49254796
Olivia Wilson,Massachusetts Institute of Technology,19,2.898293388,3,5.822408876,43,17.76741528
Liam Miller,University of Cambridge,22,5.352278185,8,5.314219667,45,26.6756605
Ava Garcia,Harvard University,18,3.486502775,7,7.128649554,38,15.560291
Emma Jones,Stanford University,21,2.442289071,3,6.617384373,43,12.78580353
